,Unnamed: 0,Unnamed: 0.1,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Survivors,New_Stability
7250,7250,391,10,2,12,0.1,0.3,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.0,0.3,1.0
7255,7255,396,10,2,24,0.1,0.3,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.0,0.3,1.0
7259,7259,400,10,2,36,0.1,0.3,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.0,0.1,1.0
7265,7265,406,10,2,46,0.1,0.3,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.0,0.3,1.0
7275,7275,416,10,2,24,0.3,0.5,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.0,0.3,1.0
7279,7279,420,1,9,46,0.1,0.3,0.0,1.1480181519253772,['[[-111 -149]]'],"['[[-161   90]', ' [  15  -34]', ' [-116  -86]', ' [ 199 -181]', ' [ -23  -51]', ' [-183  -29]', ' [ 143 -199]', ' [ -74 -110]', ' [  94   59]]']",0.0,0.1,1.0
7295,7295,436,5,5,12,0.1,0.3,0.9450449472414704,1.0200508445872067,"['[[ 179   65]', ' [-126  -23]', ' [ -68  -60]', ' [  89 -120]', ' [ 156  -92]]']","['[[ -31  139]', ' [-166  -47]', ' [-172   75]', ' [   6 -157]', ' [  76   67]]']",0.0,0.3,1.0
7300,7300,441,8,1,46,0.1,0.3,1.2524598483445026,0.0,"['[[  57  152]', ' [ -72  148]', ' [-161  -10]', ' [ 140   93]', ' [ 181  -92]', ' [ 172  141]', ' [ -70 -174]', ' [  61 -115]]']",['[[142 130]]'],0.0,0.3,1.0
7314,7314,455,8,1,12,0.3,0.5,1.2524598483445026,0.0,"['[[  57  152]', ' [ -72  148]', ' [-161  -10]', ' [ 140   93]', ' [ 181  -92]', ' [ 172  141]', ' [ -70 -174]', ' [  61 -115]]']",['[[142 130]]'],0.0,0.1,1.0
7320,7320,461,8,1,24,0.3,0.5,1.2524598483445026,0.0,"['[[  57  152]', ' [ -72  148]', ' [-161  -10]', ' [ 140   93]', ' [ 181  -92]', ' [ 172  141]', ' [ -70 -174]', ' [  61 -115]]']",['[[142 130]]'],0.0,0.3,1.0
7325,7325,466,8,1,36,0.3,0.5,1.2524598483445026,0.0,"['[[  57  152]', ' [ -72  148]', ' [-161  -10]', ' [ 140   93]', ' [ 181  -92]', ' [ 172  141]', ' [ -70 -174]', ' [  61 -115]]']",['[[142 130]]'],0.0,0.3,1.0
7330,7330,471,8,1,46,0.3,0.5,1.2524598483445026,0.0,"['[[  57  152]', ' [ -72  148]', ' [-161  -10]', ' [ 140   93]', ' [ 181  -92]', ' [ 172  141]', ' [ -70 -174]', ' [  61 -115]]']",['[[142 130]]'],0.0,0.3,1.0
7340,7340,481,10,1,12,0.1,0.3,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.3,1.0
7355,7355,496,10,1,12,0.3,0.5,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.3,1.0
7360,7360,501,10,1,24,0.3,0.5,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.3,1.0
7365,7365,506,10,1,24,0.1,0.3,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.3,1.0
7374,7374,515,10,1,36,0.1,0.3,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.1,1.0
7379,7379,520,10,1,46,0.1,0.3,1.4134978325747078,0.0,"['[[-151  185]', ' [ -94  116]', ' [   2  142]', ' [  68   27]', ' [ -71 -195]', ' [ 134 -125]', ' [ 132  151]', ' [ 189   42]', ' [ 104  -73]', ' [ -48   -6]]']",['[[96 26]]'],0.0,0.1,1.0
7388,7388,4,1,9,46,0.6,0.3,0.0,1.1480181519253772,['[[-111 -149]]'],"['[[-161   90]', ' [  15  -34]', ' [-116  -86]', ' [ 199 -181]', ' [ -23  -51]', ' [-183  -29]', ' [ 143 -199]', ' [ -74 -110]', ' [  94   59]]']",0.9,0.9,1.0
7393,7393,10,1,9,36,0.3,0.5,0.0,0.7571789235033516,['[[ 163 -161]]'],"['[[ 129  125]', ' [ -91 -140]', ' [ 181   23]', ' [ 172   99]', ' [ -51   38]', ' [-188  -48]', ' [  -2   69]', ' [ 144  -23]', ' [ -72   47]]']",0.9,0.9,1.0
7395,7395,12,10,2,46,0.6,0.3,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.9,0.9,1.0
7396,7396,13,10,2,36,0.6,0.5,1.1544737854243898,0.9079124838099,"['[[ -53  113]', ' [-135  135]', ' [-169 -180]', ' [ 137   34]', ' [ -28  141]', ' [ -20   27]', ' [ 130  -47]', ' [ 198  -13]', ' [-103   16]', ' [ -62 -159]]']","['[[-22  45]', ' [108 155]]']",0.9,0.9,1.0
7401,7401,18,1,9,24,0.3,0.5,0.0,1.1480181519253772,['[[-111 -149]]'],"['[[-161   90]', ' [  15  -34]', ' [-116  -86]', ' [ 199 -181]', ' [ -23  -51]', ' [-183  -29]', ' [ 143 -199]', ' [ -74 -110]', ' [  94   59]]']",0.9,0.9,1.0
7402,7402,19,1,9,12,0.6,0.3,0.0,1.1480181519253772,['[[-111 -149]]'],"['[[-161   90]', ' [  15  -34]', ' [-116  -86]', ' [ 199 -181]', ' [ -23  -51]', ' [-183  -29]', ' [ 143 -199]', ' [ -74 -110]', ' [  94   59]]']",0.9,0.9,1.0
7409,7409,36,1,3,36,0.6,0.3,0.0,1.5099156565085268,['[[-108  133]]'],"['[[ 131  -73]', ' [-164  101]', ' [ -88   62]]']",0.9,0.9,1.0
