,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability
0,2,4,1,12,0.1,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.0
1,2,4,1,24,0.1,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
2,1,4,2,46,0.6,0.3,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",0.3
3,1,4,2,12,0.6,0.5,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",0.8
4,1,4,2,24,0.6,0.5,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",0.6
5,1,4,2,36,0.6,0.5,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",0.3
6,1,4,2,46,0.6,0.5,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",0.6
7,1,4,2,12,0.6,0.6,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",1.0
8,1,4,2,24,0.6,0.6,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",1.0
9,1,4,2,36,0.6,0.6,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",1.0
10,1,4,2,46,0.6,0.6,0.0,0.6556324467322691,0.9622973104979706,1.7359517591119031,[[-136  -58]],"[[147 159]
 [ 49   9]
 [-80 100]
 [179 101]]","[[179 101]
 [-95 176]]",1.0
11,2,4,1,36,0.1,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
12,2,4,1,46,0.1,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
13,2,4,1,12,0.3,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.0
14,2,4,1,24,0.3,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.1
15,2,4,1,36,0.3,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.1
16,2,4,1,46,0.3,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.1
17,2,4,1,12,0.3,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.4
18,2,4,1,24,0.3,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.5
19,2,4,1,36,0.3,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.8
20,2,4,1,24,0.1,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.1
21,2,4,1,46,0.3,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.3
22,2,4,1,12,0.3,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
23,2,4,1,24,0.3,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
24,2,4,1,36,0.3,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
25,2,4,1,46,0.3,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
26,2,4,1,12,0.6,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.6
27,2,4,1,24,0.6,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.5
28,2,4,1,36,0.6,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.2
29,2,4,1,46,0.6,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.7
30,2,4,1,12,0.6,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
31,2,4,1,36,0.1,0.3,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],0.1
32,2,4,1,24,0.6,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
33,2,4,1,36,0.6,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
34,2,4,1,46,0.6,0.5,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
35,2,4,1,12,0.6,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
36,2,4,1,24,0.6,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
37,2,4,1,36,0.6,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
38,2,4,1,46,0.6,0.6,0.7626827984520631,1.1956096385960702,5,5,"[[ 141  -70]
 [  17 -160]]","[[  34  -41]
 [-191  -75]
 [ 138 -151]
 [-168   55]]",[[ 138 -151]],1.0
39,1,9,10,12,0.1,0.3,0.0,0.6646131868852976,0.7679888974967105,1.149163392366996,[[-183 -157]],"[[-156  117]
 [  85   80]
 [ 107  143]
 [-168 -155]
 [ 167   87]
 [  68   40]
 [ -15  110]
 [ -96   91]
 [-151   90]]","[[-151   90]
 [ -57  -69]
 [-160  172]
 [ 149   71]
 [  95  132]
 [ 140  -51]
 [-116 -176]
 [ -70  139]
 [-182  189]
 [  -2   97]]",0.0
40,1,9,10,24,0.1,0.3,0.0,0.6646131868852976,0.7679888974967105,1.149163392366996,[[-183 -157]],"[[-156  117]
 [  85   80]
 [ 107  143]
 [-168 -155]
 [ 167   87]
 [  68   40]
 [ -15  110]
 [ -96   91]
 [-151   90]]","[[-151   90]
 [ -57  -69]
 [-160  172]
 [ 149   71]
 [  95  132]
 [ 140  -51]
 [-116 -176]
 [ -70  139]
 [-182  189]
 [  -2   97]]",0.0
