,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
40,5,5,9,12,0.3,0.5,1.0841122100142224,1.144479865146253,1.0734481408320042,1.0593666692514543,"[[ -27    5]
 [-146  176]
 [ 170   95]
 [ 129   58]
 [ 100 -112]]","[[ 119  -62]
 [ 184  106]
 [ -58  -87]
 [ 191   98]
 [-160  -85]]","[[ 119  -62]
 [ 184  106]
 [ -58  -87]
 [ 191   98]
 [-160  -85]
 [-103   70]
 [-161  -33]
 [ -67  157]
 [  38   60]]",1.0,"frozenset({129, 100, 5, -27, 170, -146, 176, -112, 58, 95})"
41,1,9,1,12,0.3,0.5,0.0,1.1208126689463516,0.0,0.0,[[  97 -155]],"[[  11  -77]
 [ 140  100]
 [ -33 -110]
 [-144  -41]
 [ 179  -45]
 [  35   65]
 [-186 -132]
 [  90 -129]
 [ -49 -178]]",[[ -49 -178]],0.0,"frozenset({97, -155})"
42,4,3,4,12,0.3,0.5,1.432289064915035,0.762995638485802,0.7529226078307301,1.3409161644072283,"[[ 108  -51]
 [ 173   23]
 [-135  -16]
 [ 181  158]]","[[186  61]
 [ 13 116]
 [125  66]]","[[181 158]
 [186  61]
 [ 13 116]
 [125  66]]",0.8,"frozenset({108, -51, 173, -16, 181, 23, -135, 158})"
43,8,5,6,12,0.3,0.5,0.9455330353053256,1.1549601251460166,1.0047553322423743,1.0665839813050995,"[[  77    3]
 [ -89 -171]
 [ -62  107]
 [  34   22]
 [  37  187]
 [ -56   75]
 [-156  -15]
 [  97  -92]]","[[  21  -79]
 [ 188  -61]
 [ 172  -70]
 [-188  -79]
 [ -35  116]]","[[ -56   75]
 [-156  -15]
 [  97  -92]
 [  21  -79]
 [ 188  -61]
 [ 172  -70]]",1.0,"frozenset({-62, 3, -56, 75, 77, -171, 22, 97, 34, -156, 37, -92, -89, 107, -15, 187})"
44,5,9,2,12,0.3,0.5,1.0314068385323352,0.9014689046905189,0.1418735819558537,0.1255719196039648,"[[ 149 -140]
 [ -81   80]
 [ -64  -16]
 [  92  193]
 [ 128 -108]]","[[ -22 -164]
 [ 200 -136]
 [ -27   11]
 [-168 -123]
 [  -5   86]
 [  19   86]
 [-164 -182]
 [ -91  -62]
 [-135 -176]]","[[-5 86]
 [19 86]]",1.0,"frozenset({-64, 193, 128, -81, 80, -16, -140, 149, -108, 92})"
45,9,8,10,12,0.3,0.5,0.8529343156715989,1.2009068062695432,1.2068541135063933,1.1150672230391707,"[[  45  115]
 [ -79   10]
 [ -56  -53]
 [ -84  -47]
 [ -24  -30]
 [-155 -119]
 [  50   20]
 [-140   94]
 [-117 -200]]","[[-103  135]
 [-123  -41]
 [  22 -185]
 [  75  -34]
 [-187 -157]
 [ 111   75]
 [ -77  -99]
 [ 116 -186]]","[[-117 -200]
 [-103  135]
 [-123  -41]
 [  22 -185]
 [  75  -34]
 [-187 -157]
 [ 111   75]
 [ -77  -99]
 [ 116 -186]
 [-186   46]]",1.0,"frozenset({-56, -119, 10, -53, -117, -47, 20, 94, -30, -155, -24, -84, 45, -79, 50, 115, -140, -200})"
46,8,2,2,12,0.3,0.5,1.2157696799863862,0.9911822794183097,0.4676705037379985,0.3630444927073021,"[[-175  119]
 [  28   78]
 [ -38  155]
 [  40  172]
 [  74 -176]
 [ 149  -54]
 [   0  -42]
 [ 164   87]]","[[  80 -128]
 [  45   42]]","[[-38 155]
 [ 40 172]]",0.3,"frozenset({0, 74, -54, 78, -176, -175, 149, -42, 87, -38, 155, 28, 164, 40, 172, 119})"
47,1,5,2,12,0.3,0.5,0.0,0.9223854657577067,0.5028562526132027,0.6820096851759853,[[80 -1]],"[[   6 -193]
 [-151  117]
 [ -72   16]
 [-156 -185]
 [-106   73]]","[[-106   73]
 [ -82  -15]]",0.0,"frozenset({80, -1})"
48,5,4,4,12,0.3,0.5,1.0154614755774463,1.0611838089194163,1.102946303935835,1.1988827712961427,"[[ -41  -73]
 [ 125    9]
 [  25   50]
 [ -50  179]
 [  17 -132]]","[[ 20  91]
 [-76 181]
 [-76 114]
 [194 -27]]","[[  17 -132]
 [  20   91]
 [ -76  181]
 [ -76  114]]",1.0,"frozenset({9, -50, 17, -41, 50, 179, -73, 25, -132, 125})"
49,5,1,9,12,0.3,0.5,0.8845928079559748,0.0,1.132034618316242,1.0208522304708834,"[[ -44 -153]
 [  53  117]
 [-178 -185]
 [ -43   -4]
 [-184  189]]",[[145 130]],"[[  53  117]
 [-178 -185]
 [ -43   -4]
 [-184  189]
 [ 145  130]
 [-133 -112]
 [-115 -188]
 [-166    7]
 [ 159  132]]",0.4,"frozenset({-153, -185, -184, -178, -44, 117, 53, -43, -4, 189})"
