,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,s1
0,2,2,46,0.1,0.3,1.3854638689289944,0.291858062217657,"[[-82 -35]
 [167 136]]","[[-145   62]
 [-113  117]]",0.0,"frozenset({136, -35, -82, 167})"
1,2,1,46,0.1,0.3,1.5059608549660128,0.0,"[[-113  171]
 [  34  -57]]",[[77 91]],0.0,"frozenset({-57, 34, 171, -113})"
2,6,7,46,0.1,0.3,1.1613902637745834,1.0444721510206028,"[[ -91   -5]
 [   3 -199]
 [-115   74]
 [ -88  147]
 [ 170   31]
 [  64  174]]","[[   6   83]
 [-102 -191]
 [ 123   63]
 [-199   66]
 [-102  -98]
 [  13  162]
 [ -14   71]]",1.0,"frozenset({64, 3, -91, -88, 74, 170, -115, 174, 147, -199, -5, 31})"
3,1,1,46,0.1,0.3,0.0,0.0,[[  21 -185]],[[-40 161]],0.0,"frozenset({21, -185})"
4,2,6,46,0.1,0.3,1.7053260255192548,0.9825478880153099,"[[ 194  -31]
 [-131 -119]]","[[ -31 -193]
 [ -40 -198]
 [  50   16]
 [ 181  -57]
 [ 147  -66]
 [ 194   81]]",0.2,"frozenset({-31, 194, -119, -131})"
5,8,3,46,0.1,0.3,0.9400610834406387,0.9579662067947108,"[[-187   36]
 [-139  126]
 [-174  115]
 [ -93 -128]
 [ 124  -25]
 [ 113  -82]
 [ 120 -149]
 [  -7 -100]]","[[-64 -59]
 [ 40 147]
 [174 138]]",0.0,"frozenset({-128, -187, -174, -100, -93, 36, -25, -149, -82, 113, 115, -139, 120, -7, 124, 126})"
6,6,2,46,0.1,0.3,0.9684953259376479,1.3222793993252244,"[[ 112  -42]
 [-138   61]
 [  60 -139]
 [ 128   63]
 [ 197  -73]
 [  18   65]]","[[   9  141]
 [ -55 -110]]",0.0,"frozenset({128, 65, 197, 112, -73, 18, -139, -138, -42, 60, 61, 63})"
7,5,2,46,0.1,0.3,1.4726047813527205,0.25211318506649466,"[[-165   37]
 [ 153  -60]
 [ -52 -172]
 [   4  142]
 [ 147 -168]]","[[-11 -31]
 [-49 -54]]",0.0,"frozenset({-60, 37, 4, -52, 142, 147, -172, -168, 153, -165})"
8,6,7,46,0.1,0.3,1.011326738546627,1.07899361688485,"[[  85  -89]
 [  -4  121]
 [  13  118]
 [-180   89]
 [ -42 -114]
 [  86  -68]]","[[-160   30]
 [  17  -17]
 [-101  165]
 [  23 -182]
 [-181  101]
 [ 110   -9]
 [-184   44]]",0.0,"frozenset({89, -89, -68, -180, 13, -114, 85, 118, -42, 86, 121, -4})"
9,1,2,46,0.1,0.3,0.0,1.3516476699203082,[[158   0]],"[[ 113    5]
 [  -5 -106]]",0.0,"frozenset({0, 158})"
10,5,2,46,0.1,0.3,1.4299230424432676,0.9583348297372198,"[[ -6 -27]
 [-17 197]
 [-29 -79]
 [181  27]
 [ 54 195]]","[[ 36 -26]
 [ 30 111]]",0.5,"frozenset({-29, 195, 197, -27, -17, -79, 181, 54, -6, 27})"
11,9,3,46,0.1,0.3,0.9134121098635208,0.7939317428470276,"[[ -68  154]
 [-142 -135]
 [-171 -199]
 [  46 -182]
 [  21  110]
 [-104  160]
 [ -81   20]
 [-127  153]
 [ -58  169]]","[[ 104 -148]
 [ -34 -138]
 [  50   53]]",0.0,"frozenset({-127, -58, -182, 20, -171, 21, -104, 153, -135, 154, 160, 169, 46, 110, -81, -142, -199, -68})"
12,8,1,46,0.1,0.3,1.1495296135117212,0.0,"[[ 192 -103]
 [  53 -147]
 [-160   51]
 [-116  187]
 [  10   47]
 [ 178   64]
 [-141 -134]
 [ -22 -123]]",[[ 74 104]],0.0,"frozenset({192, 64, -123, 10, -116, -103, -160, -22, -147, 47, 178, 51, -141, 53, -134, 187})"
13,9,2,46,0.1,0.3,1.1118420063030732,1.52671754194048,"[[-127  -49]
 [ 157  136]
 [-181  -44]
 [  90   67]
 [  94 -120]
 [ -99  165]
 [  60  176]
 [ -42 -133]
 [ 178   98]]","[[ 143  150]
 [-150   21]]",0.9,"frozenset({-127, 67, 136, -120, -181, -49, -44, -42, 90, -99, 157, 94, 98, 165, 176, 178, -133, 60})"
14,8,5,46,0.1,0.3,0.7864407323034371,1.2229744176396167,"[[  59  -35]
 [-117  134]
 [ -56  103]
 [ -23  162]
 [  67   86]
 [-157   38]
 [ 101  175]
 [  51  125]]","[[  35   25]
 [-177   -1]
 [-162  193]
 [ 100  -35]
 [ 173  -42]]",0.2,"frozenset({67, 134, -56, -117, 86, -35, 162, -157, 101, 38, 103, -23, 175, 51, 59, 125})"
15,5,8,46,0.1,0.3,0.641302904021193,1.2199374557849594,"[[ -7 -15]
 [161 -30]
 [149  24]
 [184 -51]
 [ 39 -46]]","[[ -56  142]
 [  71   84]
 [  -4   -2]
 [ -74 -131]
 [  91 -111]
 [  89  134]
 [ 162  -88]
 [-200 -129]]",0.0,"frozenset({161, -30, 39, -51, -15, -46, 149, 24, -7, 184})"
16,1,4,46,0.1,0.3,0.0,1.4428888104939301,[[-50   1]],"[[-162 -117]
 [ 152 -159]
 [ 120   78]
 [-156  -65]]",0.0,"frozenset({1, -50})"
17,8,5,46,0.1,0.3,1.1167039226572528,0.8479169428448513,"[[ 183  -91]
 [  13  -99]
 [-147 -111]
 [ 147   55]
 [-179 -168]
 [   2 -186]
 [ 158 -146]
 [ 182  -39]]","[[  80  -37]
 [ -47   20]
 [   2   81]
 [ 146    5]
 [  94 -168]]",0.7,"frozenset({2, -186, 13, -179, -111, 147, -168, 183, -39, -99, 158, -91, -147, -146, 182, 55})"
18,10,8,46,0.1,0.3,0.9271248598830788,1.1427193489436902,"[[-161   47]
 [-171  109]
 [ -73   46]
 [-195  -73]
 [-103  -16]
 [  37  174]
 [ -65   64]
 [  43  -61]
 [  93  138]
 [-111   63]]","[[ 150   76]
 [ -28  103]
 [ -59  138]
 [  -8  -51]
 [ -64 -160]
 [ -51   -9]
 [-171  188]
 [-123  -93]]",0.7,"frozenset({64, -61, 138, -111, -171, -103, 93, -161, 37, 43, 109, 46, 47, 174, -16, 63, -73, -195, -65})"
19,1,5,46,0.1,0.3,0.0,0.4176972885567542,[[-118  -15]],"[[ 74  82]
 [ -2 182]
 [ 93  55]
 [178 134]
 [109 123]]",0.0,"frozenset({-15, -118})"
