,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,0,7,4,8,36,0.3,0.5,1.0696378182072632,1.0110648459152147,1.072001985770622,1.153468815457432,"[[  22  -40]
 [  21   54]
 [ -93 -184]
 [ -33 -159]
 [ 141   46]
 [-124  118]
 [ 145   -3]]","[[  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]]","[[ 141   46]
 [-124  118]
 [ 145   -3]
 [  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]
 [  27  -84]]",1.0,"frozenset({-159, -93, -124, -184, 141, 46, 145, 21, 54, 22, -40, 118, -3, -33})"
1,1,7,7,9,36,0.3,0.5,1.1119415772120689,1.1164448659693045,1.0547814173219825,1.099921051945712,"[[  81 -193]
 [ 195   -3]
 [  28  -48]
 [-102   29]
 [  82  124]
 [-170  -16]
 [  18   -9]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]
 [ 197  -81]
 [  33 -103]]",1.0,"frozenset({195, -48, 81, 29, 82, 124, -16, -170, 18, -9, -102, 28, -3, -193})"
2,2,10,8,5,36,0.3,0.5,1.1672522594325625,0.942929761333988,1.027573039602078,1.195134635791662,"[[-183 -158]
 [  40  -43]
 [-181 -103]
 [-170 -181]
 [ 115 -162]
 [ 198  195]
 [ 174  -15]
 [ -81   88]
 [  82 -159]
 [-167  104]]","[[ 179   53]
 [ 134   97]
 [-171  111]
 [  49 -123]
 [  34  -32]
 [-156  -87]
 [ 145 -151]
 [   9  -43]]","[[  82 -159]
 [-167  104]
 [ 179   53]
 [ 134   97]
 [-171  111]]",1.0,"frozenset({195, 198, -183, -181, 82, -43, -170, 88, -103, -167, -162, -159, -158, 40, 104, 174, -81, -15, 115})"
4,4,6,5,4,36,0.3,0.5,1.0941267795186411,1.1356494678796687,1.155990347171289,1.1694321513677786,"[[-159  133]
 [-192 -177]
 [ -11 -132]
 [  25  -50]
 [ -54  142]
 [  10   28]]","[[ -91  142]
 [-132  -27]
 [-103 -192]
 [  12 -194]
 [-150  108]]","[[  10   28]
 [ -91  142]
 [-132  -27]
 [-103 -192]]",1.0,"frozenset({-192, -159, 133, -54, 10, 28, -50, -177, 142, -11, 25, -132})"
5,5,1,8,9,36,0.3,0.5,0.0,1.1346327791128512,1.2954008996909927,1.1497332769119517,[[-67  23]],"[[ 167   82]
 [  91  -37]
 [   3   41]
 [ -87  189]
 [  32   35]
 [   7   32]
 [-103   38]
 [  16   99]]","[[  16   99]
 [-113  140]
 [ -15   23]
 [  11 -133]
 [-168 -179]
 [ 123 -156]
 [ 128  -97]
 [ 155  -71]
 [ -70   73]]",1.0,"frozenset({-67, 23})"
8,8,3,1,3,36,0.3,0.5,0.8619911575029313,0.0,1.2860066036312665,1.6075306907708942,"[[135 -53]
 [ 14   8]
 [188  47]]",[[-38  51]],"[[ 14   8]
 [188  47]
 [-38  51]]",1.0,"frozenset({135, 8, -53, 188, 14, 47})"
9,9,8,6,10,36,0.3,0.5,0.9199592380641662,0.7584819606913776,1.024044850819641,1.253791663266114,"[[  59  -65]
 [ -51   25]
 [  62    9]
 [ 108 -199]
 [  -3   10]
 [ 198  -73]
 [-139   -5]
 [-170  -16]]","[[ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]]","[[-139   -5]
 [-170  -16]
 [ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]
 [  93 -162]
 [ 164  168]]",1.0,"frozenset({198, 9, 10, -51, -170, 25, 59, 108, -16, -139, -73, -199, -5, -3, 62, -65})"
12,12,6,9,7,36,0.3,0.5,1.088402453952818,1.052818149574221,1.0642105800364785,1.098797161847393,"[[ 174  -46]
 [ 119  -33]
 [-127 -145]
 [ -56  173]
 [ -89   10]
 [ 177   14]]","[[ -21 -167]
 [  78  103]
 [ -67  197]
 [ -23   74]
 [-179  -73]
 [   8 -105]
 [-138  -51]
 [ 167   17]
 [ 104  144]]","[[ -23   74]
 [-179  -73]
 [   8 -105]
 [-138  -51]
 [ 167   17]
 [ 104  144]
 [ 148   55]]",1.0,"frozenset({-127, -89, -56, 10, 173, 174, -145, 14, 177, -46, 119, -33})"
19,19,4,9,6,36,0.3,0.5,1.2337141485478922,1.041987641299948,1.0570259683308527,1.113139392075654,"[[-177  -84]
 [ -97 -142]
 [ 144  176]
 [ -33  148]]","[[-189 -166]
 [-144 -108]
 [-129   37]
 [ 140   83]
 [ 142  -75]
 [-109   99]
 [-180  -98]
 [  17  112]
 [ 173   12]]","[[-109   99]
 [-180  -98]
 [  17  112]
 [ 173   12]
 [ -53 -188]
 [ -36 -140]]",1.0,"frozenset({-84, -177, 144, 176, -142, 148, -33, -97})"
22,22,9,3,10,36,0.3,0.5,0.9928612378915062,0.9143981439994772,1.035919618359915,1.1503135072017798,"[[ 149  165]
 [ -83  185]
 [  12  102]
 [  63 -133]
 [ 128  126]
 [-193  165]
 [  67 -145]
 [-183  -54]
 [-162   -5]]","[[-190  -98]
 [-183   92]
 [ -33 -185]]","[[  63 -133]
 [ 128  126]
 [-193  165]
 [  67 -145]
 [-183  -54]
 [-162   -5]
 [-190  -98]
 [-183   92]
 [ -33 -185]
 [ 111   43]]",1.0,"frozenset({128, 67, -183, -54, 12, 149, -162, -133, 165, 102, -83, -145, 185, -5, 63, 126, -193})"
