,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability
1,1,6,2,24,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
3,3,4,4,12,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
4,4,4,4,24,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
6,6,4,4,46,0.6,0.5,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
7,7,4,4,12,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
8,8,4,4,24,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
9,9,4,4,36,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
10,10,4,4,46,0.6,0.6,1.216437745943317,1.2699708777389425,"[[ -54  155]
 [  63   49]
 [ -98  160]
 [  99 -182]]","[[  44  116]
 [ -66  178]
 [-100   52]
 [ 173 -151]]",1.0
11,11,6,2,36,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
12,12,6,2,46,0.1,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
22,22,6,2,12,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
23,23,6,2,24,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
24,24,6,2,36,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
25,25,6,2,46,0.3,0.6,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
30,30,6,2,12,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
32,32,6,2,24,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
34,34,6,2,46,0.6,0.5,1.1703758679619716,1.3643437554920224,"[[-142  147]
 [ 162  129]
 [ 124 -139]
 [ -11  -68]
 [ -36   91]
 [  99  -40]]","[[156 118]
 [-85  34]]",1.0
