,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,New_Stability,Replating
0,2,1,2,36,0.1,0.5,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
1,2,1,2,46,0.1,0.5,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
2,2,1,2,12,0.1,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
3,2,1,2,24,0.1,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
4,2,1,2,36,0.1,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
5,2,1,2,46,0.1,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
6,6,6,5,12,0.1,0.5,0.9041112591816638,1.124600555918177,1.1336500785083936,1.1697643093057315,"['[[  23  185]', ' [ -11 -142]', ' [  46  -42]', ' [-200   24]', ' [ -76  157]', ' [   4   94]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]', ' [-155 -184]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]]']",1.0,0.0,0.9
7,2,1,2,12,0.3,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
8,2,1,2,24,0.3,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
9,2,1,2,36,0.3,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
10,6,6,5,24,0.6,0.5,0.9041112591816638,1.124600555918177,1.1336500785083936,1.1697643093057315,"['[[  23  185]', ' [ -11 -142]', ' [  46  -42]', ' [-200   24]', ' [ -76  157]', ' [   4   94]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]', ' [-155 -184]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]]']",1.0,0.0,0.9
11,6,6,5,24,0.1,0.5,0.9041112591816638,1.124600555918177,1.1336500785083936,1.1697643093057315,"['[[  23  185]', ' [ -11 -142]', ' [  46  -42]', ' [-200   24]', ' [ -76  157]', ' [   4   94]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]', ' [-155 -184]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]]']",1.0,0.0,0.9
12,2,1,2,12,0.6,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
13,6,6,5,36,0.1,0.5,0.9041112591816638,1.124600555918177,1.1336500785083936,1.1697643093057315,"['[[  23  185]', ' [ -11 -142]', ' [  46  -42]', ' [-200   24]', ' [ -76  157]', ' [   4   94]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]', ' [-155 -184]]']","['[[ -92 -155]', ' [ -19  172]', ' [  74   68]', ' [ 169  -17]', ' [  66 -191]]']",1.0,0.0,0.9
14,2,1,2,24,0.6,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
15,2,1,2,36,0.6,0.6,1.9997623212237687,0.0,1.0759274201944204,2.0,"['[[  77 -176]', ' [ 193   32]]']",['[[129 -79]]'],"['[[193  32]', ' [129 -79]]']",1.0,0.0,0.9
