,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
0,8,5,24,0.3,0.6,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
1,8,5,36,0.3,0.6,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
2,8,5,46,0.3,0.6,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
3,8,5,12,0.6,0.3,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
4,8,5,24,0.6,0.3,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,0.9,0.9
5,8,5,36,0.6,0.3,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,0.9,0.9
6,8,5,46,0.6,0.3,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
7,8,5,12,0.6,0.5,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
8,8,5,24,0.6,0.5,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
9,8,5,36,0.6,0.5,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
10,8,5,12,0.1,0.5,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
11,8,5,46,0.6,0.5,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
12,8,5,12,0.6,0.6,1.1731989199000317,1.0629438414402683,"['[[ 108  109]', ' [ 193 -126]', ' [-180   70]', ' [-195    5]', ' [-119  -45]', ' [   2  -78]', ' [  81  157]', ' [-160  163]]']","['[[  69  155]', ' [-126  -46]', ' [-101   12]', ' [ 110 -145]', ' [   6  157]]']",1.0,1.0,0.9
