,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,3,10,5,36,0.1,0.3,1.1265897172350223,1.1113780230968247,0.9813871006005301,1.002617675070696,"[[   3   65]
 [ 114 -111]
 [  60 -194]]","[[  42 -178]
 [ -74  182]
 [ 176  -74]
 [-125   33]
 [  71  -45]
 [ 125  -51]
 [ 100  -29]
 [   5 -182]
 [  62  -24]
 [  60  151]]","[[   5 -182]
 [  62  -24]
 [  60  151]
 [  69   54]
 [ 108  -10]]",0.7,"frozenset({65, -111, 3, 114, 60, -194})"
1,4,5,1,36,0.1,0.3,0.9669665041557237,1.2086115182977355,0.0,0.0,"[[  40   81]
 [-131   71]
 [  43  -64]
 [  62  -75]]","[[ -91   70]
 [ 198  -65]
 [ -64   61]
 [ -19 -147]
 [-104  -62]]",[[198 -65]],0.3,"frozenset({-64, 71, 40, 43, 81, -75, -131, 62})"
2,5,2,2,36,0.1,0.3,0.7569302980692766,1.542744096445981,0.42310206723073795,0.19942048747326635,"[[ 94 123]
 [-68 126]
 [ 39 112]
 [ 24  94]
 [ 81  35]]","[[ 55  26]
 [157 192]]","[[ 39 112]
 [ 24  94]]",0.0,"frozenset({35, 39, 112, 81, 24, 94, 123, -68, 126})"
3,10,5,7,36,0.1,0.3,0.9184285598452158,1.0646509655056,1.0831877950285012,1.0058455475987422,"[[-102   -7]
 [ 141  123]
 [   4  -20]
 [ 155  -11]
 [ -38   32]
 [ -89  -18]
 [-167 -115]
 [  89 -146]
 [  47   33]
 [  71  -46]]","[[-104 -107]
 [ 118  -10]
 [  24  104]
 [-101 -182]
 [-110 -171]]","[[ -89  -18]
 [-167 -115]
 [  89 -146]
 [  47   33]
 [  71  -46]
 [-104 -107]
 [ 118  -10]]",0.1,"frozenset({4, 71, 141, -115, -46, 89, -102, 155, -38, -167, 32, 33, -89, -20, -18, 47, -146, -11, -7, 123})"
4,1,3,8,36,0.1,0.3,0.0,1.3647132099877066,1.4578709604269413,1.147276030383867,[[-3 -2]],"[[ 102  185]
 [  84    0]
 [  69 -104]]","[[  69 -104]
 [  55   45]
 [-182  -45]
 [ 100 -151]
 [  -4   39]
 [ 166  162]
 [ 108   33]
 [ -54 -119]]",0.1,"frozenset({-3, -2})"
5,10,4,7,36,0.1,0.3,1.0066100305712842,1.0267668584133764,1.1083824265243654,1.103348127797607,"[[ -57  -53]
 [ -43 -144]
 [  69  160]
 [  92  131]
 [  27  -32]
 [  81 -141]
 [  78   -9]
 [  13    2]
 [ -23  -86]
 [  16  193]]","[[ 185  106]
 [ 114  -30]
 [  93    4]
 [ -21 -145]]","[[  27  -32]
 [  81 -141]
 [  78   -9]
 [  13    2]
 [ -23  -86]
 [  16  193]
 [ 185  106]]",0.8,"frozenset({193, 2, 131, 69, -57, -53, 13, 78, 16, 81, -43, 27, 92, 160, -32, -23, -86, -144, -141, -9})"
6,5,4,8,36,0.1,0.3,0.9529203913278594,0.9210688010333288,1.0225700126457025,1.2347754634885504,"[[ 110   65]
 [-165 -158]
 [-167 -147]
 [  13 -171]
 [-192   -4]]","[[  53  -28]
 [  77   78]
 [ 111  163]
 [-167  -75]]","[[-192   -4]
 [  53  -28]
 [  77   78]
 [ 111  163]
 [-167  -75]
 [ -37 -158]
 [-146  135]
 [ 190  124]]",0.8,"frozenset({-192, 65, -158, -147, 110, 13, -171, -167, -165, -4})"
7,6,9,9,36,0.1,0.3,1.0881007535735032,1.0323714321924746,1.0791734377696984,1.1063721446887735,"[[ 120  147]
 [-157 -135]
 [-180    6]
 [ 134  -55]
 [  56  -79]
 [  32  -18]]","[[-179  -27]
 [-174  149]
 [  44   84]
 [  31  181]
 [-128   58]
 [ -85  -76]
 [ 140  -36]
 [ -58  -63]
 [  11 -164]]","[[  31  181]
 [-128   58]
 [ -85  -76]
 [ 140  -36]
 [ -58  -63]
 [  11 -164]
 [ -16  154]
 [  55  158]
 [ 175 -173]]",0.7,"frozenset({32, -157, 6, 134, -55, -180, -18, -79, 147, 120, -135, 56})"
8,6,4,2,36,0.1,0.3,0.7932022966242722,1.2403937261379796,1.6905452524084017,1.2174570811374297,"[[ -32  -95]
 [ 148 -175]
 [  49 -197]
 [ -52   14]
 [  -7   57]
 [   5 -189]]","[[ -41  162]
 [ -74 -152]
 [-143  168]
 [  57 -159]]","[[  -7   57]
 [   5 -189]]",0.4,"frozenset({-32, -95, -189, 5, -52, 14, -175, 49, 148, -7, -197, 57})"
9,5,4,1,36,0.1,0.3,1.266044305891209,0.9712013644127719,0.0,0.0,"[[-162  -43]
 [ -30 -102]
 [ 122  186]
 [ -70  176]
 [ 159  169]]","[[184  40]
 [155 165]
 [-64 161]
 [-74 125]]",[[159 169]],0.0,"frozenset({-70, 159, -30, 186, 169, 176, -43, 122, -162, -102})"
