,Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,New_Stability,Replating
38,4,6,46,0.6,0.6,0.7203367624083834,1.2841542091914044,"['[[-127 -170]', ' [  10 -191]', ' [ -20  -23]', ' [  34 -108]]']","['[[ 110 -112]', ' [ 108  167]', ' [ 162 -125]', ' [-129 -198]', ' [ 135  -19]', ' [-166 -193]]']",1.0,1.0,0.9
39,4,4,12,0.1,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
40,4,4,24,0.1,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
41,4,4,36,0.1,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
42,6,2,46,0.1,0.5,1.1703758679619716,1.3643437554920224,"['[[-142  147]', ' [ 162  129]', ' [ 124 -139]', ' [ -11  -68]', ' [ -36   91]', ' [  99  -40]]']","['[[156 118]', ' [-85  34]]']",1.0,1.0,0.9
43,4,4,46,0.6,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
44,4,4,46,0.1,0.5,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
45,4,4,12,0.1,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
46,4,4,24,0.1,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
47,4,4,36,0.1,0.6,1.216437745943317,1.2699708777389425,"['[[ -54  155]', ' [  63   49]', ' [ -98  160]', ' [  99 -182]]']","['[[  44  116]', ' [ -66  178]', ' [-100   52]', ' [ 173 -151]]']",1.0,1.0,0.9
