,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
0,6,6,4,12,0.3,0.5,1.0871576575117254,1.062504931004092,0.9892663311059868,1.124551864026864,"[[-107   77]
 [ -74  -21]
 [-199   42]
 [ 124  -48]
 [ 128  -88]
 [ -29 -138]]","[[  -9   32]
 [-107 -111]
 [ -84 -157]
 [  66   66]
 [  -4  -48]
 [-174  178]]","[[  -9   32]
 [-107 -111]
 [ -84 -157]
 [  66   66]]",0.6,"frozenset({128, -29, -88, 42, -21, 77, -48, -107, -74, -138, -199, 124})"
1,4,4,3,12,0.3,0.5,1.3654063934327672,0.9714391136684069,1.0669923089295148,1.4699177490594204,"[[  -7  -62]
 [-151 -194]
 [ 103  157]
 [-166   98]]","[[  45  -15]
 [ 133   43]
 [-157 -143]
 [ -80  -12]]","[[  45  -15]
 [ 133   43]
 [-157 -143]]",1.0,"frozenset({-62, 98, 103, -151, -7, -166, 157, -194})"
2,4,8,3,12,0.3,0.5,0.8958736309016584,1.1335974697383218,1.1549876986222105,1.1155848415414233,"[[-49 -57]
 [101  87]
 [ 67  38]
 [-48 -78]]","[[ 102  -67]
 [  37  189]
 [ 124   93]
 [ -30   81]
 [  -1  -54]
 [ -68  119]
 [-171  -43]
 [  -3   89]]","[[  -1  -54]
 [ -68  119]
 [-171  -43]]",0.6,"frozenset({67, 101, 38, -57, -49, -48, -78, 87})"
3,3,3,1,12,0.3,0.5,0.8349591549862776,0.6641803078402407,0.0,0.0,"[[  50 -123]
 [ -75  -32]
 [  71   -9]]","[[-112    5]
 [   0   81]
 [-120   82]]",[[-112    5]],0.0,"frozenset({-32, 50, -9, -123, -75, 71})"
4,7,8,9,12,0.3,0.5,0.7797624615661887,1.104209313665469,1.174305658669878,1.1130569931025645,"[[   8   69]
 [ 159 -169]
 [ 163    2]
 [ 143  -33]
 [  15   47]
 [ 147  -82]
 [-103 -123]]","[[-159   61]
 [-154   17]
 [ 173  196]
 [-128   -1]
 [-112   71]
 [ 180 -189]
 [   6  -83]
 [ 121 -183]]","[[-154   17]
 [ 173  196]
 [-128   -1]
 [-112   71]
 [ 180 -189]
 [   6  -83]
 [ 121 -183]
 [ -69  104]
 [ 187   22]]",0.3,"frozenset({2, 163, 69, -123, 8, -82, 143, 15, 47, 147, -169, -103, -33, 159})"
5,10,10,6,12,0.3,0.5,0.8910633883313568,1.0766208622794624,1.2039686605063955,1.1809323222062613,"[[-194  -47]
 [  40  110]
 [ -26  161]
 [ 148  177]
 [-136  -24]
 [-113  109]
 [  81  -26]
 [ -10  -95]
 [  89  163]
 [ -92   81]]","[[  38 -174]
 [-140  -36]
 [ 109  140]
 [ 154 -143]
 [ 135  174]
 [-107   69]
 [ 194  135]
 [  78    2]
 [  43  166]
 [ 160 -176]]","[[  38 -174]
 [-140  -36]
 [ 109  140]
 [ 154 -143]
 [ 135  174]
 [-107   69]]",0.7,"frozenset({-113, -47, 81, 148, 89, 161, -95, 163, -92, -26, 40, -24, 109, 110, 177, -10, -136, -194})"
6,4,9,2,12,0.3,0.5,1.2916269048879088,1.0222181428649844,1.5165487123899843,1.7347444878809448,"[[ 183  102]
 [  40  122]
 [  56 -147]
 [-185 -146]]","[[  87  -36]
 [ 182  135]
 [  41    1]
 [ -55  147]
 [-179 -159]
 [ -53  153]
 [  54 -194]
 [ -18 -108]
 [  36 -186]]","[[ -53  153]
 [  54 -194]]",0.2,"frozenset({102, -185, 40, -147, -146, 183, 56, 122})"
7,10,6,6,12,0.3,0.5,1.0845334836191114,1.0751660149509812,0.8670870098936997,0.8977869876066007,"[[ 119  192]
 [ 179 -148]
 [  65  -65]
 [ 118  -59]
 [-105  131]
 [  24   89]
 [ -54   43]
 [ 105  189]
 [-164  182]
 [  -5   -1]]","[[ -30    1]
 [ -78   68]
 [-172   42]
 [  25  185]
 [  75  -79]
 [ 155 -121]]","[[ -54   43]
 [ 105  189]
 [-164  182]
 [  -5   -1]
 [ -30    1]
 [ -78   68]]",1.0,"frozenset({192, 65, 131, -59, -54, -105, 24, 89, 119, -164, 105, 43, -148, 179, 182, 118, -5, 189, -1, -65})"
8,7,4,4,12,0.3,0.5,0.7593711145019448,0.5682172104075511,1.2837999766618098,1.1087408570783577,"[[  83  -59]
 [ 188 -136]
 [ 175   -5]
 [ -14  126]
 [ 181   30]
 [ 184 -105]
 [ -60  157]]","[[ -63   73]
 [-117  -54]
 [-189  139]
 [ -33   24]]","[[ 181   30]
 [ 184 -105]
 [ -60  157]
 [ -63   73]]",0.0,"frozenset({-60, -59, 175, -105, -14, 83, 184, 181, 30, -136, -5, 188, 157, 126})"
9,3,2,5,12,0.3,0.5,1.0848489665402177,1.046546094935885,1.2265103764890468,1.2895779165958656,"[[ -40   79]
 [  46   95]
 [  16 -196]]","[[-77 114]
 [121 191]]","[[  16 -196]
 [ -77  114]
 [ 121  191]
 [  76  163]
 [  58  -26]]",0.3,"frozenset({16, 95, -40, -196, 46, 79})"
