,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
0,7,4,8,36,0.3,0.5,1.0696378182072632,1.0110648459152147,1.072001985770622,1.153468815457432,"[[  22  -40]
 [  21   54]
 [ -93 -184]
 [ -33 -159]
 [ 141   46]
 [-124  118]
 [ 145   -3]]","[[  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]]","[[ 141   46]
 [-124  118]
 [ 145   -3]
 [  69  119]
 [ -68   97]
 [-141 -137]
 [ -57   12]
 [  27  -84]]",1.0,0.9,1.0
1,7,7,9,36,0.3,0.5,1.1119415772120687,1.1164448659693045,1.0547814173219825,1.0999210519457119,"[[  81 -193]
 [ 195   -3]
 [  28  -48]
 [-102   29]
 [  82  124]
 [-170  -16]
 [  18   -9]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]]","[[  87 -160]
 [ -40   62]
 [  67  -72]
 [-109  -89]
 [  82  -10]
 [ 193   18]
 [-109  161]
 [ 197  -81]
 [  33 -103]]",1.0,0.9,1.0
2,10,8,5,36,0.3,0.5,1.1672522594325623,0.9429297613339881,1.027573039602078,1.195134635791662,"[[-183 -158]
 [  40  -43]
 [-181 -103]
 [-170 -181]
 [ 115 -162]
 [ 198  195]
 [ 174  -15]
 [ -81   88]
 [  82 -159]
 [-167  104]]","[[ 179   53]
 [ 134   97]
 [-171  111]
 [  49 -123]
 [  34  -32]
 [-156  -87]
 [ 145 -151]
 [   9  -43]]","[[  82 -159]
 [-167  104]
 [ 179   53]
 [ 134   97]
 [-171  111]]",1.0,0.9,1.0
3,1,5,5,36,0.3,0.5,0.0,1.1209837045083402,1.006565468970393,0.7036293605743253,[[ 22 120]],"[[ -31  -57]
 [ 100  181]
 [ 102 -181]
 [-167  -70]
 [ 158 -100]]","[[ 158 -100]
 [   2  188]
 [ 124   49]
 [ 116   -2]
 [  93   33]]",0.3,0.9,0.2
4,6,5,4,36,0.3,0.5,1.0941267795186411,1.1356494678796687,1.155990347171289,1.1694321513677786,"[[-159  133]
 [-192 -177]
 [ -11 -132]
 [  25  -50]
 [ -54  142]
 [  10   28]]","[[ -91  142]
 [-132  -27]
 [-103 -192]
 [  12 -194]
 [-150  108]]","[[  10   28]
 [ -91  142]
 [-132  -27]
 [-103 -192]]",1.0,0.9,1.0
5,1,8,9,36,0.3,0.5,0.0,1.1346327791128512,1.2954008996909927,1.1497332769119517,[[-67  23]],"[[ 167   82]
 [  91  -37]
 [   3   41]
 [ -87  189]
 [  32   35]
 [   7   32]
 [-103   38]
 [  16   99]]","[[  16   99]
 [-113  140]
 [ -15   23]
 [  11 -133]
 [-168 -179]
 [ 123 -156]
 [ 128  -97]
 [ 155  -71]
 [ -70   73]]",1.0,0.9,0.0
6,2,10,6,36,0.3,0.5,0.35994068307700605,1.3486305663703086,1.3052310322350755,1.0836699237125258,"[[-103   10]
 [ -75  -41]]","[[-150  199]
 [  19  -90]
 [ -59 -105]
 [-169  107]
 [-154 -193]
 [  96   21]
 [  98 -147]
 [-184 -142]
 [-113  -91]
 [  77  -25]]","[[-113  -91]
 [  77  -25]
 [-193 -102]
 [-132 -117]
 [  85 -188]
 [ 114  101]]",0.1,0.9,0.0
7,2,10,9,36,0.3,0.5,0.4008502665444846,0.9090852103435526,0.8259042630866437,1.0724190756199707,"[[-152   25]
 [ -76   36]]","[[  61   25]
 [  72 -109]
 [ 144   73]
 [  83  109]
 [-173   20]
 [ 155   35]
 [  -2    5]
 [ -92  -92]
 [  -4 -108]
 [ 126 -107]]","[[  -4 -108]
 [ 126 -107]
 [  -7  181]
 [ -71  -69]
 [ 118  177]
 [  80  -63]
 [ 106 -195]
 [  43  -76]
 [ 123 -172]]",0.0,0.9,0.0
8,3,1,3,36,0.3,0.5,0.8619911575029313,0.0,1.2860066036312665,1.6075306907708942,"[[135 -53]
 [ 14   8]
 [188  47]]",[[-38  51]],"[[ 14   8]
 [188  47]
 [-38  51]]",1.0,0.9,0.7
9,8,6,10,36,0.3,0.5,0.9199592380641662,0.7584819606913776,1.024044850819641,1.253791663266114,"[[  59  -65]
 [ -51   25]
 [  62    9]
 [ 108 -199]
 [  -3   10]
 [ 198  -73]
 [-139   -5]
 [-170  -16]]","[[ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]]","[[-139   -5]
 [-170  -16]
 [ -53   19]
 [-143  109]
 [ -59  153]
 [  93   -6]
 [  -7  125]
 [  39  198]
 [  93 -162]
 [ 164  168]]",1.0,0.9,1.0
10,4,3,8,36,0.3,0.5,1.0949746004069127,1.110950840550519,1.0942997052901113,1.0850328316183528,"[[ 193   -1]
 [-109 -173]
 [ -71   12]
 [ -57  192]]","[[   2 -181]
 [ 162  185]
 [ 162  -60]]","[[ -57  192]
 [   2 -181]
 [ 162  185]
 [ 162  -60]
 [ 194  -99]
 [-142  132]
 [  88  102]
 [-170   99]]",0.8,0.9,1.0
11,8,4,3,36,0.3,0.5,1.1457272162916963,0.9688094709057151,1.026884640916806,1.057114054143702,"[[ -67  195]
 [ -44 -173]
 [  37 -161]
 [-157  147]
 [  42  -10]
 [ -72  105]
 [ 164  -61]
 [ 186  143]]","[[ 118 -114]
 [  54  -72]
 [-173   80]
 [ -90 -100]]","[[ 42 -10]
 [-72 105]
 [164 -61]]",0.8,0.9,0.9
12,6,9,7,36,0.3,0.5,1.0884024539528179,1.052818149574221,1.0642105800364785,1.098797161847393,"[[ 174  -46]
 [ 119  -33]
 [-127 -145]
 [ -56  173]
 [ -89   10]
 [ 177   14]]","[[ -21 -167]
 [  78  103]
 [ -67  197]
 [ -23   74]
 [-179  -73]
 [   8 -105]
 [-138  -51]
 [ 167   17]
 [ 104  144]]","[[ -23   74]
 [-179  -73]
 [   8 -105]
 [-138  -51]
 [ 167   17]
 [ 104  144]
 [ 148   55]]",1.0,0.9,1.0
13,1,7,5,36,0.3,0.5,0.0,0.8335600080905903,1.185541219566756,0.8032476456962088,[[-159  130]],"[[ -81 -112]
 [-183  107]
 [ -38 -200]
 [-141 -180]
 [-155  -67]
 [  74 -125]
 [-196   32]]","[[-196   32]
 [-181   94]
 [ -11   91]
 [ -52  100]
 [-100  -92]]",0.0,0.9,0.0
14,4,3,6,36,0.3,0.5,1.2084602094302863,0.42563673543405384,0.8616526680471478,1.4330131251863747,"[[ 110   93]
 [ 198 -117]
 [  -9 -114]
 [-114  156]]","[[-145   65]
 [-114  -48]
 [ -71   18]]","[[-114  156]
 [-145   65]
 [-114  -48]
 [ -71   18]
 [  35 -175]
 [  52 -120]]",0.8,0.9,1.0
15,6,1,2,36,0.3,0.5,1.1519588095029873,0.0,1.6048605397820332,1.7452087223480786,"[[-151  -89]
 [ 143 -182]
 [  38   72]
 [  47 -180]
 [ 162  -16]
 [  38    5]]",[[99 68]],"[[ 143 -182]
 [  38   72]]",0.4,0.9,0.3
16,7,6,3,36,0.3,0.5,0.9345153461244334,0.9709899000875529,1.2226940152384735,1.4679154132060561,"[[ -45  -36]
 [-130 -152]
 [ -77  -99]
 [-187   -7]
 [ 100  -90]
 [-159 -197]
 [-134  133]]","[[ 161 -131]
 [-120   60]
 [ -31   93]
 [-178   84]
 [  80   15]
 [-139    6]]","[[-134  133]
 [ 161 -131]
 [-120   60]]",0.6,0.9,1.0
17,1,5,6,36,0.3,0.5,0.0,1.007561149114853,1.1544781527183656,1.1230006131998487,[[26 -2]],"[[ -41  198]
 [-154   99]
 [ -71  178]
 [-117 -152]
 [-176  -80]]","[[-176  -80]
 [-145  -19]
 [   5  145]
 [  -5 -162]
 [ -35  163]
 [-184 -173]]",0.0,0.9,0.0
18,10,1,9,36,0.3,0.5,0.8236581250886084,0.0,1.1191724517337478,0.7844085457918611,"[[  80   12]
 [  34 -150]
 [-159 -146]
 [-148  -31]
 [ -68 -126]
 [-159 -181]
 [-132  133]
 [ 137 -195]
 [ 159  171]
 [  37 -146]]",[[168  95]],"[[  34 -150]
 [-159 -146]
 [-148  -31]
 [ -68 -126]
 [-159 -181]
 [-132  133]
 [ 137 -195]
 [ 159  171]
 [  37 -146]]",0.0,0.9,0.0
19,4,9,6,36,0.3,0.5,1.2337141485478922,1.041987641299948,1.0570259683308527,1.113139392075654,"[[-177  -84]
 [ -97 -142]
 [ 144  176]
 [ -33  148]]","[[-189 -166]
 [-144 -108]
 [-129   37]
 [ 140   83]
 [ 142  -75]
 [-109   99]
 [-180  -98]
 [  17  112]
 [ 173   12]]","[[-109   99]
 [-180  -98]
 [  17  112]
 [ 173   12]
 [ -53 -188]
 [ -36 -140]]",1.0,0.9,1.0
20,1,6,5,36,0.3,0.5,0.0,0.9172096198657349,1.319120769932701,1.1048437812890344,[[ 48 148]],"[[-141 -135]
 [-165 -167]
 [  32   69]
 [  26 -100]
 [-117 -106]
 [ 106  174]]","[[ 106  174]
 [-100  -87]
 [ -60  182]
 [-136  -23]
 [ 134  -25]]",0.3,0.9,0.3
21,7,3,2,36,0.3,0.5,1.0578028353219144,0.7982871439673765,1.572884785531481,1.9404389977551806,"[[  70  174]
 [ -15  165]
 [  48  -26]
 [ 161  193]
 [  30 -187]
 [-153  -84]
 [-171  176]]","[[ 144   69]
 [  33 -195]
 [ 154  -16]]","[[ 161  193]
 [  30 -187]]",0.8,0.9,0.8
22,9,3,10,36,0.3,0.5,0.9928612378915062,0.9143981439994772,1.035919618359915,1.1503135072017798,"[[ 149  165]
 [ -83  185]
 [  12  102]
 [  63 -133]
 [ 128  126]
 [-193  165]
 [  67 -145]
 [-183  -54]
 [-162   -5]]","[[-190  -98]
 [-183   92]
 [ -33 -185]]","[[  63 -133]
 [ 128  126]
 [-193  165]
 [  67 -145]
 [-183  -54]
 [-162   -5]
 [-190  -98]
 [-183   92]
 [ -33 -185]
 [ 111   43]]",1.0,0.9,1.0
23,8,8,6,36,0.3,0.5,0.9731381500162689,0.9428011045623442,1.0413493234477345,1.1870205779506726,"[[ -62   16]
 [-188   30]
 [  60  134]
 [-169   33]
 [   8  199]
 [ 141 -167]
 [ -34   29]
 [  75 -101]]","[[-189 -114]
 [ -20  136]
 [ 152   51]
 [-110 -188]
 [   1 -111]
 [  11  -46]
 [-172  -53]
 [-106 -190]]","[[-189 -114]
 [ -20  136]
 [ 152   51]
 [-110 -188]
 [   1 -111]
 [  11  -46]]",0.9,0.9,0.8
24,3,5,9,36,0.3,0.5,0.6554021577256928,0.8547460458488263,1.0257484532983498,1.0497337187304592,"[[ -65  194]
 [-111   -6]
 [-118  140]]","[[ 184  -44]
 [  92  -48]
 [  47   53]
 [ -15  -33]
 [-184   27]]","[[  47   53]
 [ -15  -33]
 [-184   27]
 [ -62   51]
 [ -96  120]
 [  60 -113]
 [ 132 -118]
 [-184  127]
 [ -53  -61]]",1.0,0.9,1.0
25,4,6,9,36,0.3,0.5,0.9716551992148148,0.8454698963831405,1.0995190219251016,1.2464075990887953,"[[ -87   48]
 [ -25   -7]
 [  43 -194]
 [  33   37]]","[[-198    1]
 [ -83   11]
 [ 102 -105]
 [-152  -48]
 [-179  -86]
 [-105  -43]]","[[ 102 -105]
 [-152  -48]
 [-179  -86]
 [-105  -43]
 [-105 -116]
 [ 152  -64]
 [-163  -43]
 [ 127   85]
 [-119  115]]",0.9,0.9,0.4
26,7,3,5,36,0.3,0.5,1.210339284055598,0.9154658838569025,1.0109715722284387,1.2709705921339196,"[[-176  123]
 [ -98   62]
 [-170 -159]
 [   8  -41]
 [-198 -189]
 [ -20 -141]
 [ 170  -31]]","[[ -94 -107]
 [ 107 -171]
 [   4  -19]]","[[   8  -41]
 [-198 -189]
 [ -20 -141]
 [ 170  -31]
 [ -94 -107]]",1.0,0.9,0.9
27,4,2,3,36,0.3,0.5,1.1318253366947575,1.231781249971496,1.3055867094093523,1.4682952490860137,"[[  85 -104]
 [ -60 -155]
 [ 172 -133]
 [  -9  -98]]","[[  7 -28]
 [141 -98]]","[[ 172 -133]
 [  -9  -98]
 [   7  -28]]",0.6,0.9,0.8
28,2,10,5,36,0.3,0.5,1.7736009561291979,0.8380811577496393,0.6675969738622833,0.9303666703459222,"[[ 167  -91]
 [-191  156]]","[[ 156  -74]
 [ -16  133]
 [  -2  179]
 [ 199   46]
 [  73  -86]
 [ 106  120]
 [ -98   48]
 [-190 -100]
 [ -26  127]
 [ 148   -6]]","[[-26 127]
 [148  -6]
 [-48  91]
 [ 66 -26]
 [-24 181]]",0.0,0.9,0.0
29,10,10,7,36,0.3,0.5,0.9174559664162762,0.6645416733223266,0.7118449836171407,1.1685359826650719,"[[ 107  132]
 [-144 -195]
 [ 181 -183]
 [ 130 -192]
 [ 177 -179]
 [ -30   58]
 [ 133  -78]
 [ 169   85]
 [ -71   25]
 [ 127  130]]","[[  16 -101]
 [  -1  149]
 [-180 -134]
 [-161   97]
 [-128  -77]
 [-143 -131]
 [-107 -185]
 [ -43 -197]
 [ -51  -66]
 [ -34 -164]]","[[  16 -101]
 [  -1  149]
 [-180 -134]
 [-161   97]
 [-128  -77]
 [-143 -131]
 [-107 -185]]",1.0,0.9,0.9
30,8,4,9,36,0.3,0.5,1.2024288991179375,0.7016475410955821,0.9017417336254439,1.2598963314101705,"[[ 153 -125]
 [-188   70]
 [ 100  164]
 [ 117 -200]
 [  29   -1]
 [ 120 -159]
 [  11  100]
 [  64  -40]]","[[   2   50]
 [ -45 -164]
 [ -23  -81]
 [  37  -84]]","[[  29   -1]
 [ 120 -159]
 [  11  100]
 [  64  -40]
 [   2   50]
 [ -45 -164]
 [ -23  -81]
 [  37  -84]
 [-183   55]]",0.3,0.9,0.9
31,1,1,4,36,0.3,0.5,0.0,0.0,0.6520210803150142,1.4446713118819323,[[-124  163]],[[-57  22]],"[[-57  22]
 [161 135]
 [ 11  21]
 [-15  44]]",0.0,0.9,0.1
32,4,3,4,36,0.3,0.5,0.9648064590693897,1.1065135136325481,1.1847084731089204,1.316989881790546,"[[ 38 164]
 [170  78]
 [-98  -9]
 [-26 167]]","[[ -34   27]
 [ 187 -140]
 [ -39   81]]","[[ -26  167]
 [ -34   27]
 [ 187 -140]
 [ -39   81]]",1.0,0.9,0.6
33,4,5,4,36,0.3,0.5,1.1214108690658806,1.1421533700909674,1.0450900466944342,1.1879710022736447,"[[  81   84]
 [  48 -196]
 [-193  -61]
 [-169  -27]]","[[-187   64]
 [ -97 -130]
 [  30  111]
 [ 147   88]
 [  87 -127]]","[[ -97 -130]
 [  30  111]
 [ 147   88]
 [  87 -127]]",0.8,0.9,0.8
34,6,2,7,36,0.3,0.5,0.8955919052183708,1.2740495720662703,1.0753896645722307,0.8245593536167803,"[[ 130  104]
 [ 198  168]
 [  61 -128]
 [  -6 -114]
 [  77 -185]
 [-104  -94]]","[[-126   67]
 [ 183  140]]","[[  61 -128]
 [  -6 -114]
 [  77 -185]
 [-104  -94]
 [-126   67]
 [ 183  140]
 [ -81 -150]]",0.2,0.9,1.0
