,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,Replating,New_Stability
49,1,8,9,36,0.3,0.5,0.0,1.5066390738779674,1.0036087562606189,0.9211908386407359,[[-85  62]],"[[-131   49]
 [ 130 -120]
 [  60  108]
 [-181   60]
 [ 186  200]
 [-189   -6]
 [ -93  132]
 [   3   42]]","[[   3   42]
 [-128 -151]
 [  99  -58]
 [   5    7]
 [ 147 -195]
 [   6   13]
 [ 138  141]
 [  79 -189]
 [ 159  183]]",0.0,0.9,0.0
50,1,10,3,36,0.3,0.5,0.0,0.759800098327129,0.46411728777635136,0.918523011434196,[[-130  164]],"[[-110 -185]
 [  29  127]
 [ 124 -104]
 [  96  -15]
 [ 102  -51]
 [ -81 -186]
 [ 105   88]
 [  51 -195]
 [-184  155]
 [  -9 -163]]","[[  -9 -163]
 [  87 -171]
 [ 139   -1]]",0.0,0.9,0.0
51,8,1,7,36,0.3,0.5,0.8432566726842603,0.0,1.1870073401260517,0.851915239517172,"[[  30   80]
 [ -23  115]
 [ -65  -75]
 [ 172  112]
 [ -95 -195]
 [-187  -48]
 [  -7    4]
 [ -10  145]]",[[113 192]],"[[ -23  115]
 [ -65  -75]
 [ 172  112]
 [ -95 -195]
 [-187  -48]
 [  -7    4]
 [ -10  145]]",0.0,0.9,0.0
52,4,8,9,36,0.3,0.5,1.2047262635299891,0.9399866739734596,1.000383210216127,0.9387078563329719,"[[-182  -88]
 [ -93  139]
 [ 126 -181]
 [  56   46]]","[[  56  -57]
 [ 193   82]
 [ 125  199]
 [ 180  -42]
 [-182  -84]
 [ 125   37]
 [ -92  -70]
 [  79  -94]]","[[-182  -84]
 [ 125   37]
 [ -92  -70]
 [  79  -94]
 [-155  199]
 [-189   71]
 [  19  -53]
 [ -60   90]
 [-145 -138]]",1.0,0.9,1.0
53,1,9,7,36,0.3,0.5,0.0,0.9558530800035948,0.9126741566746339,1.0644226968176769,[[197  60]],"[[  31 -167]
 [ 172   90]
 [ -22  133]
 [-150 -161]
 [-139 -145]
 [-131    2]
 [ 185  -37]
 [  37 -110]
 [  82   68]]","[[  82   68]
 [ 186  -12]
 [  86 -192]
 [  30  125]
 [ -93  -34]
 [ -47 -171]
 [ -69 -172]]",0.0,0.9,0.0
54,2,3,9,36,0.3,0.5,1.6262873190189107,1.2467671030620917,0.9721087559002628,0.9198237336034191,"[[-66  10]
 [158 153]]","[[ 118   66]
 [-112   95]
 [ 185  113]]","[[-112   95]
 [ 185  113]
 [-141 -158]
 [-136  -83]
 [-107  -94]
 [-194   98]
 [-168   29]
 [  39  172]
 [ -21  -76]]",0.7,0.9,0.9
55,8,5,6,36,0.3,0.5,0.9074672896469635,1.1123648266865838,1.1659544675010924,1.0736395813615824,"[[ 115 -175]
 [  52   95]
 [ -15   -8]
 [  60  -86]
 [ -18   75]
 [ -95  115]
 [-180  135]
 [ -90  -42]]","[[  16 -200]
 [  97 -138]
 [-120   86]
 [  95 -169]
 [-192   57]]","[[ -95  115]
 [-180  135]
 [ -90  -42]
 [  16 -200]
 [  97 -138]
 [-120   86]]",1.0,0.9,1.0
56,5,9,2,36,0.3,0.5,1.0355914534297193,0.9770168349110947,1.1581985703996176,1.3318541731767743,"[[-196  -20]
 [  54 -195]
 [  81    1]
 [ -89  -28]
 [ -73   72]]","[[  26   58]
 [ 157   76]
 [-153  148]
 [ -19  137]
 [-199   78]
 [  -1   33]
 [-138  162]
 [-158 -105]
 [ -28  -48]]","[[-199   78]
 [  -1   33]]",0.5,0.9,0.5
57,6,6,6,36,0.3,0.5,0.8813869344295872,1.1427233867800641,1.1427233867800641,1.2000000000000002,"[[-145  -70]
 [ 178 -111]
 [  23   37]
 [  81   75]
 [ 124  -61]
 [-117 -198]]","[[-127  158]
 [-196 -149]
 [-100  197]
 [ 196  -70]
 [ 124    8]
 [  70  174]]","[[-127  158]
 [-196 -149]
 [-100  197]
 [ 196  -70]
 [ 124    8]
 [  70  174]]",1.0,0.9,1.0
58,3,4,9,36,0.3,0.5,1.12699275422341,1.0717307492615238,0.8066562182349707,1.0483200861206077,"[[-133   63]
 [-158    0]
 [ 103  163]]","[[-135  101]
 [-100 -102]
 [  92  -28]
 [  70   56]]","[[-100 -102]
 [  92  -28]
 [  70   56]
 [ 195   54]
 [-184  -56]
 [ -48   28]
 [ 148  -96]
 [  53 -103]
 [ 157  -53]]",0.1,0.9,0.2
