,Num_Cells_Strain1,Num_Cells_Strain2,t_deg_x,k_degA,k_degB,ratioS1,ratioS2,posS1,posS2,Stability,Replating,New_Stability
0,2,2,46,0.1,0.3,1.3854638689289944,0.291858062217657,"[[-82 -35]
 [167 136]]","[[-145   62]
 [-113  117]]",0.0,0.9,0.0
1,2,1,46,0.1,0.3,1.5059608549660128,0.0,"[[-113  171]
 [  34  -57]]",[[77 91]],0.0,0.9,0.0
2,6,7,46,0.1,0.3,1.1613902637745834,1.0444721510206028,"[[ -91   -5]
 [   3 -199]
 [-115   74]
 [ -88  147]
 [ 170   31]
 [  64  174]]","[[   6   83]
 [-102 -191]
 [ 123   63]
 [-199   66]
 [-102  -98]
 [  13  162]
 [ -14   71]]",1.0,0.9,1.0
3,1,1,46,0.1,0.3,0.0,0.0,[[  21 -185]],[[-40 161]],0.0,0.9,0.0
4,2,6,46,0.1,0.3,1.7053260255192548,0.9825478880153099,"[[ 194  -31]
 [-131 -119]]","[[ -31 -193]
 [ -40 -198]
 [  50   16]
 [ 181  -57]
 [ 147  -66]
 [ 194   81]]",0.2,0.9,0.1
5,8,3,46,0.1,0.3,0.9400610834406387,0.9579662067947108,"[[-187   36]
 [-139  126]
 [-174  115]
 [ -93 -128]
 [ 124  -25]
 [ 113  -82]
 [ 120 -149]
 [  -7 -100]]","[[-64 -59]
 [ 40 147]
 [174 138]]",0.0,0.9,0.0
6,6,2,46,0.1,0.3,0.9684953259376479,1.3222793993252244,"[[ 112  -42]
 [-138   61]
 [  60 -139]
 [ 128   63]
 [ 197  -73]
 [  18   65]]","[[   9  141]
 [ -55 -110]]",0.0,0.9,0.0
7,5,2,46,0.1,0.3,1.4726047813527205,0.25211318506649466,"[[-165   37]
 [ 153  -60]
 [ -52 -172]
 [   4  142]
 [ 147 -168]]","[[-11 -31]
 [-49 -54]]",0.0,0.9,0.0
8,6,7,46,0.1,0.3,1.011326738546627,1.07899361688485,"[[  85  -89]
 [  -4  121]
 [  13  118]
 [-180   89]
 [ -42 -114]
 [  86  -68]]","[[-160   30]
 [  17  -17]
 [-101  165]
 [  23 -182]
 [-181  101]
 [ 110   -9]
 [-184   44]]",0.0,0.9,0.0
9,1,2,46,0.1,0.3,0.0,1.3516476699203082,[[158   0]],"[[ 113    5]
 [  -5 -106]]",0.0,0.9,0.0
10,5,2,46,0.1,0.3,1.4299230424432676,0.9583348297372198,"[[ -6 -27]
 [-17 197]
 [-29 -79]
 [181  27]
 [ 54 195]]","[[ 36 -26]
 [ 30 111]]",0.5,0.9,0.8
11,9,3,46,0.1,0.3,0.9134121098635208,0.7939317428470276,"[[ -68  154]
 [-142 -135]
 [-171 -199]
 [  46 -182]
 [  21  110]
 [-104  160]
 [ -81   20]
 [-127  153]
 [ -58  169]]","[[ 104 -148]
 [ -34 -138]
 [  50   53]]",0.0,0.9,0.0
12,8,1,46,0.1,0.3,1.1495296135117212,0.0,"[[ 192 -103]
 [  53 -147]
 [-160   51]
 [-116  187]
 [  10   47]
 [ 178   64]
 [-141 -134]
 [ -22 -123]]",[[ 74 104]],0.0,0.9,0.0
13,9,2,46,0.1,0.3,1.1118420063030732,1.52671754194048,"[[-127  -49]
 [ 157  136]
 [-181  -44]
 [  90   67]
 [  94 -120]
 [ -99  165]
 [  60  176]
 [ -42 -133]
 [ 178   98]]","[[ 143  150]
 [-150   21]]",0.9,0.9,0.9
14,8,5,46,0.1,0.3,0.7864407323034371,1.2229744176396167,"[[  59  -35]
 [-117  134]
 [ -56  103]
 [ -23  162]
 [  67   86]
 [-157   38]
 [ 101  175]
 [  51  125]]","[[  35   25]
 [-177   -1]
 [-162  193]
 [ 100  -35]
 [ 173  -42]]",0.2,0.9,0.2
15,5,8,46,0.1,0.3,0.641302904021193,1.2199374557849594,"[[ -7 -15]
 [161 -30]
 [149  24]
 [184 -51]
 [ 39 -46]]","[[ -56  142]
 [  71   84]
 [  -4   -2]
 [ -74 -131]
 [  91 -111]
 [  89  134]
 [ 162  -88]
 [-200 -129]]",0.0,0.9,0.0
16,1,4,46,0.1,0.3,0.0,1.4428888104939301,[[-50   1]],"[[-162 -117]
 [ 152 -159]
 [ 120   78]
 [-156  -65]]",0.0,0.9,0.0
17,8,5,46,0.1,0.3,1.1167039226572528,0.8479169428448513,"[[ 183  -91]
 [  13  -99]
 [-147 -111]
 [ 147   55]
 [-179 -168]
 [   2 -186]
 [ 158 -146]
 [ 182  -39]]","[[  80  -37]
 [ -47   20]
 [   2   81]
 [ 146    5]
 [  94 -168]]",0.7,0.9,0.6
18,10,8,46,0.1,0.3,0.9271248598830788,1.1427193489436902,"[[-161   47]
 [-171  109]
 [ -73   46]
 [-195  -73]
 [-103  -16]
 [  37  174]
 [ -65   64]
 [  43  -61]
 [  93  138]
 [-111   63]]","[[ 150   76]
 [ -28  103]
 [ -59  138]
 [  -8  -51]
 [ -64 -160]
 [ -51   -9]
 [-171  188]
 [-123  -93]]",0.7,0.9,0.6
19,1,5,46,0.1,0.3,0.0,0.4176972885567542,[[-118  -15]],"[[ 74  82]
 [ -2 182]
 [ 93  55]
 [178 134]
 [109 123]]",0.0,0.9,0.0
20,3,9,46,0.1,0.3,0.970299554381612,1.1658370425512379,"[[  50  153]
 [-170   85]
 [  38   54]]","[[-124  115]
 [ -65   77]
 [-176  143]
 [-135   -8]
 [ 128 -180]
 [ -46 -123]
 [ 162  -69]
 [ -20   98]
 [ -18  179]]",0.0,0.9,0.0
21,4,6,46,0.1,0.3,0.8819557635358615,0.8766763901650989,"[[ 134 -146]
 [  36  -33]
 [-117   44]
 [ -48 -177]]","[[  87  159]
 [  55  119]
 [-115  141]
 [-143  176]
 [-109  -10]
 [ 108  -71]]",0.2,0.9,0.3
22,2,8,46,0.1,0.3,1.0630149812621144,1.0850296851296513,"[[ 73 -17]
 [180 148]]","[[   8  -50]
 [ 159   60]
 [ 164  167]
 [ 130 -116]
 [ 125 -148]
 [  38 -184]
 [  49  -39]
 [-146   26]]",0.0,0.9,0.0
23,4,6,46,0.1,0.3,0.9096994510872077,1.234516825859173,"[[ -62   89]
 [ 186 -191]
 [  55 -141]
 [  40   23]]","[[-183   28]
 [ 159   56]
 [ 157 -180]
 [ -57 -164]
 [ -81  192]
 [-190 -170]]",0.6,0.9,0.5
24,4,1,46,0.1,0.3,1.0973459750249048,0.0,"[[-197   11]
 [  46  149]
 [ -70 -156]
 [ -53  137]]",[[-153 -125]],0.0,0.9,0.0
25,9,9,46,0.1,0.3,0.9898659986578485,1.0574746919528766,"[[  92  -92]
 [ -76   85]
 [ 170 -179]
 [-195  178]
 [ 183 -196]
 [ -92  151]
 [  55  -30]
 [  91  -51]
 [-118    7]]","[[-128  -85]
 [ -76 -195]
 [-177 -147]
 [  -4  -31]
 [ 183  -13]
 [ 177   54]
 [ -99  169]
 [ 159  181]
 [ -70   53]]",0.5,0.9,0.6
26,2,6,46,0.1,0.3,0.7083092180736987,1.0791125996074782,"[[ 84 -94]
 [139  12]]","[[  59  -74]
 [-127  104]
 [ -11  -79]
 [ 158  -99]
 [  -5  -98]
 [-165 -103]]",0.0,0.9,0.0
27,10,7,46,0.1,0.3,1.1994493449637413,0.7958754055867667,"[[ -23   61]
 [ 158  180]
 [-105 -184]
 [ -44   28]
 [ 135   11]
 [ 139 -123]
 [ -75  154]
 [ 106  -46]
 [ -93  -34]
 [ -33 -163]]","[[ -92 -127]
 [  19  -46]
 [ -30  -71]
 [  -1   76]
 [ -63 -124]
 [  91  -51]
 [-175  -75]]",1.0,0.9,1.0
28,1,5,46,0.1,0.3,0.0,0.6685592808409547,[[-179  155]],"[[  60  127]
 [-136 -171]
 [-105 -180]
 [-130  -61]
 [-128  -39]]",0.0,0.9,0.0
29,1,3,46,0.1,0.3,0.0,1.1162137194148232,[[ 55 167]],"[[ 158   67]
 [  94   75]
 [ -72 -133]]",0.0,0.9,0.1
30,6,7,46,0.1,0.3,0.7361506123587112,1.0811015091934617,"[[   4   83]
 [ 198   39]
 [ -44  -14]
 [ 167    5]
 [ 159 -151]
 [  69  143]]","[[-173  138]
 [ -70 -173]
 [ 181 -161]
 [ -22 -187]
 [ -85 -109]
 [-187  162]
 [  86  139]]",0.0,0.9,0.1
31,8,9,46,0.1,0.3,1.0620221119665028,1.1372321054750432,"[[ 148  -21]
 [  20  -79]
 [ 125   22]
 [ 109 -135]
 [-150  138]
 [ -76  159]
 [ -40  -29]
 [-168   44]]","[[ 191  181]
 [  88  -43]
 [  60  -15]
 [-127  135]
 [-171  -18]
 [ 151  -65]
 [ -84    0]
 [ -93  163]
 [ 105 -123]]",0.5,0.9,0.8
32,7,7,46,0.1,0.3,0.9764788398651083,1.0971658432225007,"[[ -73  160]
 [ -22  -10]
 [-104  -12]
 [ 109  -53]
 [  55  134]
 [ 157  148]
 [-169    3]]","[[ 130 -183]
 [  74  102]
 [ 174    3]
 [   5 -100]
 [ -85  -10]
 [  83  -64]
 [-177  161]]",0.8,0.9,0.9
33,9,7,46,0.1,0.3,1.1060449149047866,1.0271022608303813,"[[ 180  134]
 [  -5 -168]
 [-123 -188]
 [ -24   64]
 [-111 -190]
 [ 171  106]
 [  95  -94]
 [-105 -121]
 [-200  -80]]","[[-169  -14]
 [ 148  -79]
 [ -73  133]
 [-103 -169]
 [  57 -159]
 [ -83 -172]
 [ -91   85]]",0.7,0.9,0.7
34,8,10,46,0.1,0.3,1.0116058049808252,1.0456656037480774,"[[  84  -86]
 [ -75  -77]
 [  87  173]
 [ 129   60]
 [ 181  154]
 [ 120 -199]
 [ 173 -147]
 [ -63  141]]","[[-189   51]
 [ 118  171]
 [ -89 -107]
 [ 199 -187]
 [ -15   56]
 [ -63 -198]
 [ -42  197]
 [ -40 -120]
 [  49  -59]
 [ 119 -141]]",0.0,0.9,0.0
35,1,3,46,0.1,0.3,0.0,0.5220013014578987,[[-24 162]],"[[ 125 -180]
 [ 129 -112]
 [  61   28]]",0.0,0.9,0.0
36,10,1,46,0.1,0.3,0.8430407364229547,0.0,"[[ 101   55]
 [  32   73]
 [ 102  -78]
 [  77  125]
 [ 175  181]
 [ 118   65]
 [  55 -198]
 [ 187  158]
 [-105  120]
 [ -18 -148]]",[[-125   41]],0.0,0.9,0.0
37,7,8,46,0.1,0.3,0.8558566964788067,1.084632420620816,"[[-118 -131]
 [ 171 -101]
 [  23   42]
 [ -29  -38]
 [ 107   -7]
 [-124 -154]
 [  34   77]]","[[ 158 -147]
 [  15   66]
 [ 174  195]
 [-161 -123]
 [-139  165]
 [  -9  166]
 [ -28   22]
 [ -39  108]]",0.0,0.9,0.0
38,9,7,46,0.1,0.3,0.9842598484683848,1.1946751990848812,"[[-179  -13]
 [ 150   52]
 [  15  150]
 [  12  127]
 [  54  175]
 [  72 -145]
 [ 119   83]
 [ -86   -8]
 [-140  -68]]","[[ 194  -40]
 [ -42 -194]
 [ 187  154]
 [  66   74]
 [-189   87]
 [ -36   29]
 [ -18  157]]",0.1,0.9,0.3
39,9,4,46,0.1,0.3,0.8838358495452115,0.8662266640807799,"[[ -42  -19]
 [  62  142]
 [ -87   15]
 [ -14  168]
 [ 125 -178]
 [ -37 -179]
 [ -45   54]
 [-142    6]
 [   9   34]]","[[-190 -198]
 [ -39  -42]
 [-105 -157]
 [  86 -111]]",1.0,0.9,1.0
