,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,New_Stability,Replating
0,2,7,5,12,0.3,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
1,2,7,5,24,0.3,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
2,2,7,5,36,0.3,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
3,2,7,5,46,0.3,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
4,2,7,5,24,0.6,0.5,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
5,2,7,5,12,0.6,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
6,2,7,5,36,0.6,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
7,2,7,5,46,0.6,0.6,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
8,2,7,5,12,0.1,0.5,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
9,2,7,5,24,0.1,0.5,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
10,2,4,1,12,0.1,0.6,0.7626827984520631,1.1956096385960702,5.0,5.0,"['[[ 141  -70]', ' [  17 -160]]']","['[[  34  -41]', ' [-191  -75]', ' [ 138 -151]', ' [-168   55]]']",['[[ 138 -151]]'],1.0,0.0,0.9
11,2,7,5,36,0.1,0.5,5.0,5.0,5.0,5.0,"['[[0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']","['[[0 0]', ' [0 0]', ' [0 0]', ' [0 0]', ' [0 0]]']",1.0,0.0,0.9
