,Unnamed: 0,Num_Cells_Strain1,Num_Cells_Strain2,Num_Cells_Strain3,t_deg,k_degA,k_degB,ratioS1,ratioS2,ratioS3_S1,ratioS3_S2,posS1,posS2,posS3,Stability,s1
1,1,4,4,3,12,0.3,0.5,1.3654063934327672,0.9714391136684069,1.0669923089295148,1.4699177490594204,"[[  -7  -62]
 [-151 -194]
 [ 103  157]
 [-166   98]]","[[  45  -15]
 [ 133   43]
 [-157 -143]
 [ -80  -12]]","[[  45  -15]
 [ 133   43]
 [-157 -143]]",1.0,"frozenset({-62, 98, 103, -151, -7, -166, 157, -194})"
7,7,10,6,6,12,0.3,0.5,1.0845334836191114,1.0751660149509812,0.8670870098936997,0.8977869876066007,"[[ 119  192]
 [ 179 -148]
 [  65  -65]
 [ 118  -59]
 [-105  131]
 [  24   89]
 [ -54   43]
 [ 105  189]
 [-164  182]
 [  -5   -1]]","[[ -30    1]
 [ -78   68]
 [-172   42]
 [  25  185]
 [  75  -79]
 [ 155 -121]]","[[ -54   43]
 [ 105  189]
 [-164  182]
 [  -5   -1]
 [ -30    1]
 [ -78   68]]",1.0,"frozenset({192, 65, 131, -59, -54, -105, 24, 89, 119, -164, 105, 43, -148, 179, 182, 118, -5, 189, -1, -65})"
11,11,4,4,8,12,0.3,0.5,1.3977572442356387,1.037536033228727,1.120017357146735,1.2959130320256875,"[[ -40  159]
 [ -26   64]
 [-165 -164]
 [  43   21]]","[[ -67   53]
 [ -98 -158]
 [ -18  106]
 [  -5   79]]","[[ -67   53]
 [ -98 -158]
 [ -18  106]
 [  -5   79]
 [-188  -42]
 [ 193   62]
 [  13  134]
 [-110  -96]]",1.0,"frozenset({64, -26, 43, 21, -40, -165, -164, 159})"
12,12,5,8,7,12,0.3,0.5,0.9394600734964856,1.10557960352117,1.1425524972786605,1.1571635051978075,"[[  87  -89]
 [ -78   -2]
 [-193  -64]
 [  75    7]
 [  89 -161]]","[[-150  -85]
 [  82  176]
 [  22   64]
 [ -32  142]
 [-115    3]
 [  58 -150]
 [ 194 -160]
 [  -4  126]]","[[ -32  142]
 [-115    3]
 [  58 -150]
 [ 194 -160]
 [  -4  126]
 [-108  -82]
 [ -89  200]]",1.0,"frozenset({-64, -89, 7, 75, -78, -161, 87, 89, -2, -193})"
26,26,4,6,5,12,0.3,0.5,0.9712235909576008,1.0586599294322008,0.8866041184919407,1.0706063068884126,"[[  46   98]
 [ -39  -21]
 [-133 -146]
 [  40 -139]]","[[  95  112]
 [-127 -149]
 [  25  111]
 [ -31  110]
 [  99  -68]
 [ 196  129]]","[[ 25 111]
 [-31 110]
 [ 99 -68]
 [196 129]
 [154 -70]]",1.0,"frozenset({98, 40, -21, 46, -146, -139, -39, -133})"
27,27,8,5,7,12,0.3,0.5,0.9607551055738516,1.0993613431956153,1.0309711895985372,1.0834559552062646,"[[ 174  188]
 [-105   12]
 [ 129  106]
 [ 142  -53]
 [ -78 -154]
 [-173  -84]
 [ -44   13]
 [  63  -41]]","[[  38 -168]
 [ -15  120]
 [-180  -11]
 [-184  197]
 [ -18 -143]]","[[-173  -84]
 [ -44   13]
 [  63  -41]
 [  38 -168]
 [ -15  120]
 [-180  -11]
 [-184  197]]",1.0,"frozenset({129, -53, 12, 13, 142, -173, -44, -41, -105, -154, 106, -84, 174, -78, 188, 63})"
34,34,7,4,6,12,0.3,0.5,0.9545210431783488,0.9969227432903528,1.1197273920026105,1.1987856166700954,"[[  14 -167]
 [ 200 -189]
 [  35  -83]
 [  -2   72]
 [  89   90]
 [ 102 -177]
 [ -93   20]]","[[  51   89]
 [ -19  129]
 [ -72 -196]
 [-107   66]]","[[  89   90]
 [ 102 -177]
 [ -93   20]
 [  51   89]
 [ -19  129]
 [ -72 -196]]",1.0,"frozenset({89, -189, 35, -93, 102, 200, 72, -83, 14, -177, 20, -167, 90, -2})"
40,40,3,5,8,12,0.3,0.5,1.3698691764456226,0.872972492457675,0.9971897797920538,1.2486463804263326,"[[  22   55]
 [  65 -131]
 [-169 -147]]","[[-102 -100]
 [  69  145]
 [  31  -21]
 [ -51   51]
 [ -24  -34]]","[[  31  -21]
 [ -51   51]
 [ -24  -34]
 [ -91 -163]
 [-168  123]
 [  17  197]
 [-145 -148]
 [  -7  143]]",1.0,"frozenset({65, -131, 22, 55, -147, -169})"
75,75,9,9,10,12,0.3,0.5,1.0135732956705674,1.111050417943081,1.087745927416514,1.0964099818980115,"[[ -28  123]
 [ -26  -18]
 [ 104  -20]
 [ -37   68]
 [-122 -171]
 [ 181  -74]
 [ 169 -118]
 [-168  115]
 [  60   57]]","[[ 127 -171]
 [ 150   35]
 [-134  -27]
 [-125    8]
 [ 116   86]
 [  36  197]
 [ 105  -33]
 [ -62  -69]
 [-199 -132]]","[[ 127 -171]
 [ 150   35]
 [-134  -27]
 [-125    8]
 [ 116   86]
 [  36  197]
 [ 105  -33]
 [ -62  -69]
 [-199 -132]
 [ 113   91]]",1.0,"frozenset({68, -122, -118, -171, -168, -37, -28, -26, 104, 169, -20, -18, 115, 181, -74, 57, 123, 60})"
83,83,10,9,5,12,0.3,0.5,0.9062007841810944,1.085209838535536,1.2716221028615051,1.1726005374943147,"[[  72 -148]
 [  89 -118]
 [ 157  111]
 [ -78   31]
 [ -43  101]
 [ -52 -151]
 [  13   30]
 [ -61 -134]
 [-105  -11]
 [-183  -99]]","[[ -92   47]
 [ 196  -14]
 [ -25  153]
 [ -12 -136]
 [-131  -80]
 [ 198  118]
 [-137  115]
 [ -12  193]
 [ 112  -12]]","[[-183  -99]
 [ -92   47]
 [ 196  -14]
 [ -25  153]
 [ -12 -136]]",1.0,"frozenset({-61, 72, -183, -118, -52, 13, -43, -105, 89, 157, 30, 31, -99, 101, -151, -148, 111, -78, -11, -134})"
