,Epochs,Learning_Rate,Batch_Size,Neurons,Dropout,Activation,Initializer,Regularizer,Normalization,Acc_train,Acc_val,Acc_test,Optimizer
109,3000,0.0002,256,"[100, 75, 50, 25]",0.25,elu,zeros,l2,1,0.6553011536598206,0.6553784608840942,0.6560636162757874,adam
110,3000,0.0002,256,"[100, 75, 50, 25]",0.25,relu,random_uniform,l1,1,0.9241413593292236,0.9159362554550172,0.943538773059845,adam
111,3000,0.0002,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l1,1,0.8755102038383484,0.8868525981903076,0.8894632220268249,adam
112,3000,0.0002,256,"[100, 75, 50, 25]",0.25,relu,random_uniform,l2,1,0.937332010269165,0.9266932368278504,0.9403578639030457,adam
113,3000,0.0002,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l2,1,0.8993031501770019,0.9095617532730104,0.9228628158569336,adam
114,3000,0.0002,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l1,1,0.9242409229278564,0.9211155533790588,0.936381709575653,adam
115,3000,0.0002,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l1,1,0.8829268336296081,0.8944223046302795,0.906958258152008,adam
116,3000,0.0002,256,"[100, 75, 50, 25]",0.25,relu,random_normal,l2,1,0.930114483833313,0.9203187227249146,0.939960241317749,adam
117,3000,0.0001,256,"[100, 75, 50, 25]",0.25,elu,random_uniform,l1,1,0.8728720784187317,0.8900398373603821,0.883499002456665,adam
118,3000,0.0002,256,"[100, 75, 50, 25]",0.25,elu,random_normal,l2,1,0.902090585231781,0.9079681396484376,0.9268389582633972,adam
119,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l1,1,0.9430562496185304,0.9183266997337342,0.9296222686767578,adam
120,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l1,1,0.8943255424499512,0.9095617532730104,0.915308153629303,adam
121,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,he_uniform,l2,1,0.9434544444084167,0.9167330741882324,0.933996033668518,adam
122,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,he_uniform,l2,1,0.910353410243988,0.9131474137306214,0.9332008004188538,adam
123,3000,0.0002,256,"[100, 75, 50, 25]",0.1,relu,he_normal,l1,1,0.9528123378753662,0.9151394486427308,0.9268389582633972,adam
124,3000,0.0002,256,"[100, 75, 50, 25]",0.1,elu,he_normal,l1,1,0.8943753004074096,0.9087649345397948,0.9157057642936708,adam
