Num_Cells_Strain1,Num_Cells_Strain2,t_deg,k_degA,k_degB,ratioS1,ratioS2,Stability,Survivors
-1.0,-0.11111111111111116,0.41176470588235303,-0.19999999999999996,0.3333333333333335,-1.0,-0.029503917768151422,0.6000000000000001,1.0
1.0,-1.0,-0.2941176470588236,-0.19999999999999996,-1.0,0.7015349821801518,-1.0,-0.8,-0.5
0.11111111111111094,-0.7777777777777779,1.0000000000000002,-0.9999999999999999,-1.0,-0.2665723451094272,-0.8674502935375984,0.0,-1.0
1.0,-0.7777777777777779,1.0000000000000002,-0.9999999999999999,-1.0,0.07036266121596957,0.24408043428914916,0.8,0.5
0.11111111111111094,-1.0,-1.0,-0.19999999999999996,-1.0,0.5781560390984328,-1.0,-0.6,0.5
-0.3333333333333335,0.11111111111111094,1.0000000000000002,-0.9999999999999999,-1.0,0.4333413361447329,-0.0004060257801505873,-0.4,-1.0
-0.11111111111111116,-0.7777777777777779,-1.0,-0.19999999999999996,0.3333333333333335,0.08951835841301103,-0.0052298910911302565,0.8,-1.0
1.0,-0.7777777777777779,0.41176470588235303,-0.19999999999999996,-1.0,0.38972801134855506,0.027644702253737163,-0.8,-1.0
-0.5555555555555557,0.7777777777777777,0.41176470588235303,-0.19999999999999996,0.3333333333333335,0.37397529372266036,0.22012890887798053,0.3999999999999999,1.0
0.11111111111111094,-0.7777777777777779,-0.2941176470588236,-0.19999999999999996,-1.0,0.18929599112219941,-0.28421216917347614,0.3999999999999999,-0.5
0.5555555555555554,-0.11111111111111116,-1.0,-0.19999999999999996,-1.0,0.4122688816789297,0.20312103526273506,0.3999999999999999,0.0
-1.0,0.5555555555555554,-0.2941176470588236,-0.9999999999999999,-1.0,-1.0,0.0803825056104226,-0.19999999999999996,1.0
-0.7777777777777779,0.7777777777777777,-0.2941176470588236,-0.19999999999999996,0.3333333333333335,0.7750391732157911,0.162589337284611,0.6000000000000001,0.0
-0.5555555555555557,-0.5555555555555557,-0.2941176470588236,-0.9999999999999999,-1.0,0.7340049400332354,-0.42504501523582705,0.6000000000000001,1.0
-1.0,-0.7777777777777779,-0.2941176470588236,-0.19999999999999996,-1.0,-1.0,0.5965585579538537,0.0,0.5
-0.3333333333333335,0.7777777777777777,-1.0,1.0,-1.0,0.09249120692133972,0.3988742910984091,0.8,-1.0
0.11111111111111094,-1.0,-1.0,-0.19999999999999996,-1.0,0.2152703697015319,-1.0,-0.19999999999999996,1.0
-1.0,-0.11111111111111116,-1.0,-0.9999999999999999,-1.0,-1.0,-0.029503917768151422,-0.19999999999999996,1.0
-0.7777777777777779,-0.7777777777777779,0.41176470588235303,-0.9999999999999999,-1.0,-0.1920300147203612,0.9333036119489926,0.19999999999999996,1.0
-1.0,1.0,-0.2941176470588236,-0.19999999999999996,0.3333333333333335,-1.0,0.281648613708686,-0.8,-0.5
1.0,-1.0,1.0000000000000002,-0.9999999999999999,-1.0,0.7015349821801518,-1.0,-1.0,-1.0
-0.3333333333333335,0.33333333333333304,1.0000000000000002,1.0,-1.0,0.24201040360591852,0.36153064141445457,0.6000000000000001,0.0
0.5555555555555554,-1.0,-1.0,-0.9999999999999999,-1.0,-0.163079528533705,-1.0,0.3999999999999999,1.0
0.7777777777777777,-1.0,-1.0,-0.19999999999999996,-1.0,0.4833413878203272,-1.0,-0.8,0.5
-0.7777777777777779,-0.3333333333333335,-1.0,1.0,1.0,0.8236023006368192,0.02935086635846984,-0.6,-1.0
1.0,-0.5555555555555557,0.41176470588235303,-0.19999999999999996,0.3333333333333335,0.4559380377521902,0.23198147189547758,0.0,-0.5
-1.0,-0.11111111111111116,0.41176470588235303,-0.9999999999999999,-1.0,-1.0,-0.029503917768151422,0.19999999999999996,1.0
